output_file,class,patch_id,dates,input_files,shape,temporal_samples,zone_id,crop_type,split
10015.npy,,10015,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10015_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10015_img.tif']","[20, 64, 64]",2,4,-1,test
10016.npy,,10016,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10016_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10016_img.tif']","[20, 64, 64]",2,4,-1,test
10017.npy,,10017,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10017_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10017_img.tif']","[20, 64, 64]",2,4,-1,test
10106_class6.npy,6.0,10106,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10106_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10106_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10107_class6.npy,6.0,10107,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10107_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10107_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10108_class6.npy,6.0,10108,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10108_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10108_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10109_class6.npy,6.0,10109,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10109_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10109_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10110_class6.npy,6.0,10110,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10110_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10110_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10111_class6.npy,6.0,10111,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10111_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10111_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10112_class6.npy,6.0,10112,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10112_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10112_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10113.npy,,10113,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10113_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10113_img.tif']","[20, 64, 64]",2,4,-1,test
10114_class6.npy,6.0,10114,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10114_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10114_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10115_class6.npy,6.0,10115,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10115_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10115_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10116_class6.npy,6.0,10116,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10116_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10116_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10117_class6.npy,6.0,10117,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10117_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10117_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10118_class6.npy,6.0,10118,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10118_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10118_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10119_class6.npy,6.0,10119,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10119_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10119_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10120_class6.npy,6.0,10120,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10120_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10120_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10121_class6.npy,6.0,10121,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10121_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10121_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10122_class6.npy,6.0,10122,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10122_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10122_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10123_class6.npy,6.0,10123,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10123_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10123_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10124_class6.npy,6.0,10124,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10124_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10124_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10125_class6.npy,6.0,10125,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10125_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10125_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10126_class6.npy,6.0,10126,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10126_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10126_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10127_class6.npy,6.0,10127,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10127_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10127_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10128_class6.npy,6.0,10128,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10128_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10128_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10129_class6.npy,6.0,10129,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10129_class6_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10129_class6_img.tif']","[20, 64, 64]",2,4,-1,test
10130.npy,,10130,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10130_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10130_img.tif']","[20, 64, 64]",2,4,-1,test
10131_class4.npy,4.0,10131,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10131_class4_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10131_class4_img.tif']","[20, 64, 64]",2,4,-1,test
10132_class4.npy,4.0,10132,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10132_class4_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10132_class4_img.tif']","[20, 64, 64]",2,4,-1,test
10133_class4.npy,4.0,10133,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10133_class4_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10133_class4_img.tif']","[20, 64, 64]",2,4,-1,test
10134_class4.npy,4.0,10134,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10134_class4_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10134_class4_img.tif']","[20, 64, 64]",2,4,-1,test
10135_class4.npy,4.0,10135,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10135_class4_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10135_class4_img.tif']","[20, 64, 64]",2,4,-1,test
10136_class4.npy,4.0,10136,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10136_class4_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10136_class4_img.tif']","[20, 64, 64]",2,4,-1,test
10137_class4.npy,4.0,10137,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10137_class4_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10137_class4_img.tif']","[20, 64, 64]",2,4,-1,test
10138_class4.npy,4.0,10138,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10138_class4_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10138_class4_img.tif']","[20, 64, 64]",2,4,-1,test
10139_class4.npy,4.0,10139,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10139_class4_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10139_class4_img.tif']","[20, 64, 64]",2,4,-1,test
10140_class4.npy,4.0,10140,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10140_class4_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10140_class4_img.tif']","[20, 64, 64]",2,4,-1,test
10141_class4.npy,4.0,10141,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10141_class4_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10141_class4_img.tif']","[20, 64, 64]",2,4,-1,test
10142_class4.npy,4.0,10142,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10142_class4_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10142_class4_img.tif']","[20, 64, 64]",2,4,-1,test
10143_class4.npy,4.0,10143,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10143_class4_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10143_class4_img.tif']","[20, 64, 64]",2,4,-1,test
10144_class4.npy,4.0,10144,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10144_class4_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10144_class4_img.tif']","[20, 64, 64]",2,4,-1,test
10145_class4.npy,4.0,10145,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10145_class4_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10145_class4_img.tif']","[20, 64, 64]",2,4,-1,test
10146_class4.npy,4.0,10146,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10146_class4_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10146_class4_img.tif']","[20, 64, 64]",2,4,-1,test
10147_class4.npy,4.0,10147,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10147_class4_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10147_class4_img.tif']","[20, 64, 64]",2,4,-1,test
10148.npy,,10148,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10148_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10148_img.tif']","[20, 64, 64]",2,4,-1,test
10149_class3.npy,3.0,10149,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10149_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10149_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10150_class3.npy,3.0,10150,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10150_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10150_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10151_class3.npy,3.0,10151,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10151_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10151_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10152_class3.npy,3.0,10152,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10152_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10152_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10153_class3.npy,3.0,10153,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10153_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10153_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10154_class3.npy,3.0,10154,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10154_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10154_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10155_class3.npy,3.0,10155,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10155_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10155_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10156_class3.npy,3.0,10156,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10156_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10156_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10157_class3.npy,3.0,10157,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10157_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10157_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10158_class3.npy,3.0,10158,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10158_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10158_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10159_class3.npy,3.0,10159,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10159_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10159_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10160_class3.npy,3.0,10160,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10160_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10160_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10161_class3.npy,3.0,10161,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10161_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10161_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10162_class3.npy,3.0,10162,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10162_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10162_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10163_class3.npy,3.0,10163,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10163_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10163_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10164_class3.npy,3.0,10164,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10164_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10164_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10165.npy,,10165,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10165_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10165_img.tif']","[20, 64, 64]",2,4,-1,test
10166_class3.npy,3.0,10166,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10166_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10166_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10167_class3.npy,3.0,10167,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10167_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10167_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10168_class3.npy,3.0,10168,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10168_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10168_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10169_class3.npy,3.0,10169,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10169_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10169_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10170_class3.npy,3.0,10170,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10170_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10170_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10171_class3.npy,3.0,10171,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10171_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10171_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10172_class3.npy,3.0,10172,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10172_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10172_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10173_class3.npy,3.0,10173,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10173_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10173_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10174_class3.npy,3.0,10174,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10174_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10174_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10175_class3.npy,3.0,10175,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10175_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10175_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10176_class3.npy,3.0,10176,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10176_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10176_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10177_class3.npy,3.0,10177,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10177_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10177_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10178_class3.npy,3.0,10178,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10178_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10178_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10179_class3.npy,3.0,10179,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10179_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10179_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10180_class3.npy,3.0,10180,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10180_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10180_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10181_class3.npy,3.0,10181,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10181_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10181_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10182_class3.npy,3.0,10182,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10182_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10182_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10183.npy,,10183,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10183_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10183_img.tif']","[20, 64, 64]",2,4,-1,test
10184.npy,,10184,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10184_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10184_img.tif']","[20, 64, 64]",2,4,-1,test
10185.npy,,10185,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10185_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10185_img.tif']","[20, 64, 64]",2,4,-1,test
10186.npy,,10186,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10186_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10186_img.tif']","[20, 64, 64]",2,4,-1,test
10187.npy,,10187,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10187_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10187_img.tif']","[20, 64, 64]",2,4,-1,test
10188.npy,,10188,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10188_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10188_img.tif']","[20, 64, 64]",2,4,-1,test
10189.npy,,10189,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10189_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10189_img.tif']","[20, 64, 64]",2,4,-1,test
10190.npy,,10190,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10190_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10190_img.tif']","[20, 64, 64]",2,4,-1,test
10191.npy,,10191,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10191_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10191_img.tif']","[20, 64, 64]",2,4,-1,test
10192.npy,,10192,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10192_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10192_img.tif']","[20, 64, 64]",2,4,-1,test
10193.npy,,10193,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10193_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10193_img.tif']","[20, 64, 64]",2,4,-1,test
10194.npy,,10194,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10194_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10194_img.tif']","[20, 64, 64]",2,4,-1,test
10195.npy,,10195,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10195_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10195_img.tif']","[20, 64, 64]",2,4,-1,test
10196.npy,,10196,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10196_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10196_img.tif']","[20, 64, 64]",2,4,-1,test
